Date,Open,High,Low,Close,Price,Volume
1/2/2019,35.490002,37.75,35.34,37.200001,34.026131,15926100
1/3/2019,37.310001,38.59,36.860001,37.599998,34.392002,20007900
1/4/2019,38.299999,39.23,38.029999,39.09,35.754879,19506600
1/7/2019,39.209999,40.470001,38.950001,40.169998,36.742733,15736900
1/8/2019,40.77,41,40.23,40.669998,37.200069,13070200
1/9/2019,41.259998,41.619999,40.740002,41.240002,37.721439,17909200
1/10/2019,40.93,41.84,40.75,41.650002,38.096462,13299600
1/11/2019,41.110001,41.77,40.689999,41.740002,38.178783,13330500
1/14/2019,41.099998,41.57,40.990002,41.32,37.794613,11804200
1/15/2019,41.84,42.200001,41.43,41.720001,38.160484,9398400
1/16/2019,41.5,41.740002,41.200001,41.25,37.730587,12481600
1/17/2019,40.889999,41.740002,40.529999,41.369999,37.840347,13889800
1/18/2019,43.849998,44.939999,43,44.73,40.913673,26638600
1/22/2019,43.889999,44.27,43.32,43.959999,40.209377,21523500
1/23/2019,44.060001,44.189999,42.709999,43.310001,39.614834,13765800
1/24/2019,43.490002,44.380001,43.189999,43.560001,39.843506,10990900
1/25/2019,44,45.049999,43.98,45,41.160641,15921400
1/28/2019,44.27,44.549999,43.77,44.240002,40.465485,11225300
1/29/2019,44.68,44.84,43.84,44,40.24596,8097500
1/30/2019,44.169998,45.049999,43.939999,45,41.160641,7961500
1/31/2019,45,45.009998,43.73,44.209999,40.438046,15458100
2/1/2019,44.400002,44.970001,44.200001,44.560001,40.75819,8583700
2/4/2019,44.220001,44.650002,43.880001,44.599998,40.794765,12786700
2/5/2019,44.599998,45.27,44.389999,45.139999,41.288696,10662700
2/6/2019,44.970001,45.220001,44.779999,45.07,41.22467,6945800
2/7/2019,44.689999,44.869999,42.900002,43.459999,39.752033,12647300
2/8/2019,43.32,43.5,42.23,42.779999,39.130051,9173500
2/11/2019,42.48,43.740002,42.459999,43.689999,39.962406,9541800
2/12/2019,43.860001,44.360001,43.740002,44.060001,40.767403,8981100
2/13/2019,44.169998,45.130001,44.07,44.419998,41.100487,11036100
2/14/2019,44.279999,44.52,44.119999,44.139999,40.841412,9671200
2/15/2019,44.630001,45.099998,44.470001,44.950001,41.590889,8174900
2/19/2019,44.52,45.799999,44.439999,45.540001,42.136791,10039200
2/20/2019,45.349998,46.349998,45.349998,45.900002,42.469894,8565600
2/21/2019,45.860001,45.950001,44.599998,44.720001,41.378071,9527400
2/22/2019,45.080002,45.139999,44.189999,44.360001,41.044975,5716500
2/25/2019,44.330002,45.009998,44.25,44.790001,41.442841,6033300
2/26/2019,44.799999,45.150002,44.259998,44.310001,40.998711,5853200
2/27/2019,44.400002,44.779999,44.080002,44.349998,41.035721,7442700
2/28/2019,44.459999,44.540001,43.419998,44.060001,40.767403,8846900
3/1/2019,44.220001,45.189999,44.220001,45.189999,41.81295,8811700
3/4/2019,45.43,45.66,44.57,45.240002,41.859222,6946300
3/5/2019,45.200001,45.27,44.310001,44.790001,41.442841,7391100
3/6/2019,44.509998,44.709999,43.200001,43.369999,40.12896,9948900
3/7/2019,43.419998,43.459999,42.450001,42.490002,39.31472,8086500
3/8/2019,41.73,41.790001,40.880001,41.290001,38.204399,12739200
3/11/2019,41.790001,42.32,41.439999,42.080002,38.93536,9494500
3/12/2019,42.150002,42.919998,42.119999,42.59,39.407246,8230600
3/13/2019,43.009998,43.299999,42.830002,43.150002,39.9254,8822800
3/14/2019,43.150002,43.5,43.049999,43.09,39.869881,7934400
3/15/2019,42.700001,43.16,42.34,42.389999,39.222191,14144900
3/18/2019,42.700001,43.650002,42.470001,43.360001,40.119709,13518800
3/19/2019,43.779999,43.990002,43.09,43.25,40.017921,8834700
3/20/2019,43.23,44.599998,43.080002,44.290001,40.980206,9512500
3/21/2019,44.110001,44.389999,43.779999,44.220001,40.915436,6168400
3/22/2019,43.75,43.970001,42.310001,42.470001,39.296219,7892200
3/25/2019,41.759998,42.549999,41.720001,42.470001,39.296219,6390000
3/26/2019,42.919998,43.720001,42.77,43.049999,39.832874,6500500
3/27/2019,43.029999,43.279999,42.389999,42.68,39.490517,5254400
3/28/2019,42.490002,43.68,42.330002,43.619999,40.360279,7419800
3/29/2019,44.23,44.349998,43.220001,43.57,40.314011,7984800
4/1/2019,43.98,44.990002,43.720001,44.759998,41.415089,9717800
4/2/2019,44.900002,45.450001,44.349998,44.490002,41.165268,6899400
4/3/2019,44.790001,44.830002,43.389999,43.59,40.332516,7230600
4/4/2019,43.41,44.110001,43.060001,44.099998,40.804401,6670900
4/5/2019,44.41,45.540001,44.259998,45,41.637146,9149600
4/8/2019,45.150002,46.240002,45.099998,46.169998,42.719711,11421400
4/9/2019,45.860001,46.040001,45.220001,45.580002,42.173805,7577500
4/10/2019,45.799999,46,45.400002,45.549999,42.146046,6148800
4/11/2019,45.549999,45.91,44.91,45.310001,41.923985,5291400
4/12/2019,46,46.450001,45.580002,45.650002,42.238579,8667000
4/15/2019,45.560001,46.830002,45.25,46.400002,42.932529,11178400
4/16/2019,46.639999,47.549999,46.610001,47.34,43.802284,7654400
4/17/2019,47.810001,47.959999,47.130001,47.41,43.86705,8346300
